id,titel,satz,typ,trainiert_skill,bedarf,belastung,dauer_min,dauer_max,ort,fuer_ablenkung,ist_auffrischung,hitzetauglich,regentauglich,dunkeltauglich,gelenkbelastend,saisonfenster,equipment,zweite_person,min_alter_wochen,max_alter_wochen,eignung,varianzgruppe,sperrfrist_tage,illustration,anleitung,erfolgskriterium,haeufige_fehler,troubleshooting
sitz_dauer_challenge,Sitz-Dauer-Challenge,Hund ins Sitz bringen.,training,sitz,"{""koerperlich"": 1, ""kopfarbeit"": 1, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",1,5,15,egal,"[1, 3]",false,true,true,true,false,,{},false,9,,{},sitz_dauer_challenge,3,,"{""Hund ins Sitz bringen"",""Zeit langsam erhöhen"",""Auflösewort geben""}","Er meistert „Sitz-Dauer-Challenge"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund steht auf""}","[{""problem"": ""Hund steht auf"", ""antwort"": ""Zeitintervall verkürzen""}]"
sitz_auf_distanz,Sitz auf Distanz,Hund in 5m Entfernung absetzen.,training,sitz,"{""koerperlich"": 1, ""kopfarbeit"": 1, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",1,5,15,egal,"[1, 3]",false,true,true,true,false,,"{""schleppleine""}",false,9,,{},sitz_auf_distanz,3,,"{""Hund in 5m Entfernung absetzen"",""Kommando geben"",""Zurückgehen und belohnen""}","Er meistert „Sitz auf Distanz"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund kommt auf Besitzer zu""}","[{""problem"": ""Hund kommt auf Besitzer zu"", ""antwort"": ""Schleppleine nutzen""}]"
sitz_unter_ablenkung,Sitz unter Ablenkung,Hund absetzen.,training,sitz,"{""koerperlich"": 1, ""kopfarbeit"": 1, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",1,5,15,egal,"[3, 5]",false,true,true,true,false,,{},false,9,,{},sitz_unter_ablenkung,3,,"{""Hund absetzen"",""Ball werfen oder rennen"",""Hund muss bleiben""}","Er meistert „Sitz unter Ablenkung"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund bricht ab""}","[{""problem"": ""Hund bricht ab"", ""antwort"": ""Ablenkungsreiz schwächer beginnen""}]"
platz_in_der_belebten_stadt,Platz in der belebten Stadt,Ruhigen Ort suchen.,training,platz,"{""koerperlich"": 1, ""kopfarbeit"": 1, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",1,5,15,draussen,"[3, 5]",false,false,false,true,false,,{},false,9,,{},platz_in_der_belebten_stadt,3,,"{""Ruhigen Ort suchen"",""Platz einfordern"",""Aushalten belohnen""}","Er meistert „Platz in der belebten Stadt"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund ist zu gestresst""}","[{""problem"": ""Hund ist zu gestresst"", ""antwort"": ""Ruhigere Umgebung wählen""}]"
platz_mit_unsichtbarem_halter,Platz mit unsichtbarem Halter,Hund ablegen.,training,platz,"{""koerperlich"": 1, ""kopfarbeit"": 1, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",1,5,15,draussen,"[1, 3]",false,true,true,true,false,,{},false,9,,{},platz_mit_unsichtbarem_halter,3,,"{""Hund ablegen"",""Kurz hinter einer Tür/Baum verstecken"",""Zurückkommen""}","Er meistert „Platz mit unsichtbarem Halter"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund steht auf""}","[{""problem"": ""Hund steht auf"", ""antwort"": ""Versteckzeit auf 1 Sekunde reduzieren""}]"
platz_aus_der_bewegung,Platz aus der Bewegung,Im Laufschritt Platz rufen.,training,platz,"{""koerperlich"": 1, ""kopfarbeit"": 1, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",3,5,10,egal,"[1, 3]",false,false,true,true,true,,{},false,9,,{},platz_aus_der_bewegung,3,,"{""Im Laufschritt Platz rufen"",""Hund muss sofort abliegen""}","Er meistert „Platz aus der Bewegung"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund läuft weiter""}","[{""problem"": ""Hund läuft weiter"", ""antwort"": ""Zuerst aus dem langsamen Schritt üben""}]"
bleib_bei_fliegendem_spielzeug,Bleib bei fliegendem Spielzeug,Hund ins Bleib setzen.,training,bleib,"{""koerperlich"": 1, ""kopfarbeit"": 1, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",2,10,20,drinnen,"[3, 5]",false,true,true,true,false,,{},false,13,,{},bleib_bei_fliegendem_spielzeug,3,,"{""Hund ins Bleib setzen"",""Spielzeug werfen"",""Freigabe geben""}","Er meistert „Bleib bei fliegendem Spielzeug"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund stürmt vorzeitig los""}","[{""problem"": ""Hund stürmt vorzeitig los"", ""antwort"": ""Spielzeug anfangs nur leicht rollen""}]"
bleib_waehrend_halter_huepft,Bleib während Halter hüpft,Hund ablegen.,training,bleib,"{""koerperlich"": 1, ""kopfarbeit"": 1, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",1,5,15,egal,"[1, 3]",false,true,true,true,false,,{},false,13,,{},bleib_waehrend_halter_huepft,3,,"{""Hund ablegen"",""Halter macht Hampelmann"",""Hund belohnen""}","Er meistert „Bleib während Halter hüpft"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund hüpft mit""}","[{""problem"": ""Hund hüpft mit"", ""antwort"": ""Bewegungen langsamer ausführen""}]"
bleib_mit_futter_auf_den_pfoten,Bleib mit Futter auf den Pfoten,Hund liegt.,training,bleib,"{""koerperlich"": 1, ""kopfarbeit"": 1, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",1,5,15,egal,"[1, 3]",false,true,true,true,false,,{},false,13,,{},bleib_mit_futter_auf_den_pfoten,3,,"{""Hund liegt"",""Leckerli auf Pfote legen"",""Warten lassen""}","Er meistert „Bleib mit Futter auf den Pfoten"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund frisst sofort""}","[{""problem"": ""Hund frisst sofort"", ""antwort"": ""Hand über das Leckerli halten""}]"
bleib_bei_tuerklingel,Bleib bei Türklingel,Hund auf Decke schicken.,training,bleib,"{""koerperlich"": 1, ""kopfarbeit"": 1, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",1,5,15,drinnen,"[1, 3]",false,true,true,true,false,,{},true,13,,{},bleib_bei_tuerklingel,3,,"{""Hund auf Decke schicken"",""Klingeln auslösen"",""Hund muss bleiben""}","Er meistert „Bleib bei Türklingel"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund läuft zur Tür""}","[{""problem"": ""Hund läuft zur Tür"", ""antwort"": ""Zweite Person klingelt, Halter blockiert Tür""}]"
rueckruf_mit_pfeife,Rückruf mit Pfeife,Pfeife ertönt.,training,rueckruf,"{""koerperlich"": 1, ""kopfarbeit"": 1, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",2,10,20,egal,"[3, 5]",false,false,true,true,false,,"{""pfeife""}",false,9,,{},rueckruf_mit_pfeife,3,,"{""Pfeife ertönt"",""Halter läuft rückwärts"",""Hund wird hochwertig belohnt""}","Er meistert „Rückruf mit Pfeife"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund reagiert nicht""}","[{""problem"": ""Hund reagiert nicht"", ""antwort"": ""Konditionierung der Pfeife ohne Ablenkung wiederholen""}]"
rueckruf_aus_dem_spiel,Rückruf aus dem Spiel,Hund spielt mit Artgenossen.,training,rueckruf,"{""koerperlich"": 1, ""kopfarbeit"": 1, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",3,5,10,egal,"[3, 5]",false,false,true,true,true,,"{""schleppleine""}",false,9,,{},rueckruf_aus_dem_spiel,3,,"{""Hund spielt mit Artgenossen"",""Rückruf signalisieren"",""Hund belohnen und zurückschicken""}","Er meistert „Rückruf aus dem Spiel"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund ignoriert Ruf""}","[{""problem"": ""Hund ignoriert Ruf"", ""antwort"": ""Schleppleine nutzen, um Erfolg durchzusetzen""}]"
versteckspiel_im_wald,Versteckspiel im Wald,Halter versteckt sich hinter Baum.,training,rueckruf,"{""koerperlich"": 1, ""kopfarbeit"": 1, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",2,10,20,draussen,"[3, 5]",false,false,true,true,false,,{},false,9,,{},versteckspiel_im_wald,3,,"{""Halter versteckt sich hinter Baum"",""Hund rufen"",""Große Freude bei Fund""}","Er meistert „Versteckspiel im Wald"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund sucht nicht""}","[{""problem"": ""Hund sucht nicht"", ""antwort"": ""Halter macht Geräusche""}]"
pendeltraining_an_der_schleppleine,Pendeltraining an der Schleppleine,Schleppleine nutzen.,training,rueckruf,"{""koerperlich"": 1, ""kopfarbeit"": 1, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",2,10,20,egal,"[1, 3]",false,false,true,true,false,,"{""schleppleine""}",false,9,,{},pendeltraining_an_der_schleppleine,3,,"{""Schleppleine nutzen"",""Richtungswechsel ohne Vorwarnung"",""Hund muss folgen""}","Er meistert „Pendeltraining an der Schleppleine"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund läuft ins Ende der Leine""}","[{""problem"": ""Hund läuft ins Ende der Leine"", ""antwort"": ""Richtungswechsel häufiger durchführen""}]"
tempowechsel_bei_fuss,Tempowechsel bei Fuß,Fuß-Kommando.,training,leinenfuehrigkeit,"{""koerperlich"": 1, ""kopfarbeit"": 1, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",2,10,20,egal,"[1, 3]",false,false,true,true,false,,{},false,9,,{},tempowechsel_bei_fuss,3,,"{""Fuß-Kommando"",""Wechsel zwischen rennen und schleichen"",""Hund muss sich anpassen""}","Er meistert „Tempowechsel bei Fuß"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund überholt""}","[{""problem"": ""Hund überholt"", ""antwort"": ""Sofort stehenbleiben""}]"
zick_zack_laufen,Zick-Zack-Laufen,Abrupte Haken schlagen.,training,leinenfuehrigkeit,"{""koerperlich"": 1, ""kopfarbeit"": 1, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",2,10,20,egal,"[1, 3]",false,true,true,true,false,,{},false,9,,{},zick_zack_laufen,3,,"{""Abrupte Haken schlagen"",""Hund muss sich am Bein orientieren""}","Er meistert „Zick-Zack-Laufen"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund schnüffelt""}","[{""problem"": ""Hund schnüffelt"", ""antwort"": ""Aufmerksamkeitssignal geben""}]"
acht_laufen_um_baeume,Acht-Laufen um Bäume,Zwei Bäume suchen.,training,leinenfuehrigkeit,"{""koerperlich"": 1, ""kopfarbeit"": 1, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",2,10,20,egal,"[1, 3]",false,true,true,true,false,,{},false,9,,{},acht_laufen_um_baeume,3,,"{""Zwei Bäume suchen"",""Im Fuß eine Acht darum laufen""}","Er meistert „Acht-Laufen um Bäume"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund geht auf falsche Seite""}","[{""problem"": ""Hund geht auf falsche Seite"", ""antwort"": ""Leine kurz halten, führen""}]"
stehenbleiben_bei_zug,Stehenbleiben bei Zug,"Sobald Leine spannt, stehen bleiben.",training,leinenfuehrigkeit,"{""koerperlich"": 1, ""kopfarbeit"": 1, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",1,5,15,egal,"[1, 3]",false,true,true,true,false,,{},false,9,,{},stehenbleiben_bei_zug,3,,"{""Sobald Leine spannt, stehen bleiben"",""Warten bis Hund nachgibt"",""Weitergehen""}","Er meistert „Stehenbleiben bei Zug"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund zieht dauerhaft""}","[{""problem"": ""Hund zieht dauerhaft"", ""antwort"": ""Richtungswechsel einbauen""}]"
aus_bei_zerrspiel,Aus bei Zerrspiel,Zerrspiel starten.,training,aus_loslassen,"{""koerperlich"": 1, ""kopfarbeit"": 2, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",2,10,20,egal,"[3, 5]",false,true,true,true,false,,{},false,9,,{},aus_bei_zerrspiel,3,,"{""Zerrspiel starten"",""Bewegung einfrieren"",""Aus sagen"",""Nach Loslassen sofort weiterzerren""}","Er meistert „Aus bei Zerrspiel"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund lässt nicht los""}","[{""problem"": ""Hund lässt nicht los"", ""antwort"": ""Leckerli vor die Nase halten (Tausch)""}]"
tauschgeschaeft_mit_kauartikel,Tauschgeschäft mit Kauartikel,Hund hat Kauknochen.,training,aus_loslassen,"{""koerperlich"": 1, ""kopfarbeit"": 2, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",1,5,15,egal,"[1, 3]",false,true,true,true,false,,{},false,9,,{},tauschgeschaeft_mit_kauartikel,3,,"{""Hund hat Kauknochen"",""Besseres Futter anbieten"",""Knochen wegnehmen und direkt zurückgeben""}","Er meistert „Tauschgeschäft mit Kauartikel"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund knurrt""}","[{""problem"": ""Hund knurrt"", ""antwort"": ""Tauschobjekt muss zwingend hochwertiger sein""}]"
ignorieren_von_bodenfutter_giftkoedertraining,Ignorieren von Bodenfutter (Giftködertraining),Futter auf den Boden legen.,training,abbruchsignal_nein,"{""koerperlich"": 1, ""kopfarbeit"": 2, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",1,5,15,drinnen,"[1, 3]",false,true,true,true,false,,{},false,9,,{},ignorieren_von_bodenfutter_giftkoedertraining,3,,"{""Futter auf den Boden legen"",""Vorbeigehen üben"",""Abbruch bei Interesse""}","Er meistert „Ignorieren von Bodenfutter (Giftködertraining)"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund frisst Futter""}","[{""problem"": ""Hund frisst Futter"", ""antwort"": ""Futter abdecken, Distanz vergrößern""}]"
abbruch_bei_wildsichtung_reizangel,Abbruch bei Wildsichtung (Reizangel),Reizangel bewegen.,training,abbruchsignal_nein,"{""koerperlich"": 1, ""kopfarbeit"": 2, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",3,5,10,egal,"[3, 5]",false,false,true,false,true,,"{""reizangel""}",false,9,,{},abbruch_bei_wildsichtung_reizangel,3,,"{""Reizangel bewegen"",""Abbruchkommando geben"",""Hund muss stoppen""}","Er meistert „Abbruch bei Wildsichtung (Reizangel)"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund hetzt weiter""}","[{""problem"": ""Hund hetzt weiter"", ""antwort"": ""Hund an der Leine sichern""}]"
apportieren_von_dummy,Apportieren von Dummy,Dummy werfen.,training,apportieren,"{""koerperlich"": 2, ""kopfarbeit"": 1, ""nase"": 0, ""sozial"": 2, ""erholung"": 0}",2,10,20,egal,"[1, 3]",false,false,true,true,false,,"{""dummy""}",false,17,,{},apportieren_von_dummy,7,,"{""Dummy werfen"",""Hund holen lassen"",""Tauschen gegen Futter""}","Er meistert „Apportieren von Dummy"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund läuft mit Dummy weg""}","[{""problem"": ""Hund läuft mit Dummy weg"", ""antwort"": ""Weglaufen und Hund animieren zu folgen""}]"
apportieren_mit_hindernis,Apportieren mit Hindernis,Dummy über kleinen Ast werfen.,training,apportieren,"{""koerperlich"": 2, ""kopfarbeit"": 1, ""nase"": 0, ""sozial"": 2, ""erholung"": 0}",3,5,10,egal,"[1, 3]",false,false,false,true,true,,"{""dummy""}",false,17,,{},apportieren_mit_hindernis,7,,"{""Dummy über kleinen Ast werfen"",""Hund muss drüber springen"",""Dummy bringen""}","Er meistert „Apportieren mit Hindernis"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund umläuft das Hindernis""}","[{""problem"": ""Hund umläuft das Hindernis"", ""antwort"": ""Hindernis breiter wählen""}]"
dummy_suche_im_wald,Dummy-Suche im Wald,Hund absetzen.,training,apportieren,"{""koerperlich"": 2, ""kopfarbeit"": 1, ""nase"": 0, ""sozial"": 2, ""erholung"": 0}",2,10,20,draussen,"[1, 3]",false,false,true,true,false,,"{""dummy""}",false,17,,{},dummy_suche_im_wald,7,,"{""Hund absetzen"",""Dummy außer Sicht verstecken"",""Apportieren lassen""}","Er meistert „Dummy-Suche im Wald"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund findet Dummy nicht""}","[{""problem"": ""Hund findet Dummy nicht"", ""antwort"": ""Nase auf die Spur helfen""}]"
zwei_dummy_training,Zwei-Dummy-Training,Zwei Dummys auslegen.,training,apportieren,"{""koerperlich"": 2, ""kopfarbeit"": 1, ""nase"": 0, ""sozial"": 2, ""erholung"": 0}",3,5,10,egal,"[1, 3]",false,false,true,true,true,,"{""dummy""}",false,17,,{},zwei_dummy_training,7,,"{""Zwei Dummys auslegen"",""Hund gezielt in eine Richtung schicken""}","Er meistert „Zwei-Dummy-Training"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund holt falschen Dummy""}","[{""problem"": ""Hund holt falschen Dummy"", ""antwort"": ""Anderen Dummy vorher einstecken""}]"
hand_target_statisch,Hand-Target statisch,Handfläche hinhalten.,training,hand_target_touch,"{""koerperlich"": 0, ""kopfarbeit"": 2, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",1,5,15,egal,"[0, 1]",false,true,true,true,false,,{},false,9,,{},hand_target_statisch,7,,"{""Handfläche hinhalten"",""Hund stuppst an"",""Click/Belohnung""}","Er meistert „Hand-Target statisch"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund leckt die Hand""}","[{""problem"": ""Hund leckt die Hand"", ""antwort"": ""Warten bis Nase anstößt""}]"
hand_target_in_bewegung,Hand-Target in Bewegung,Hand hinhalten und wegziehen.,training,hand_target_touch,"{""koerperlich"": 0, ""kopfarbeit"": 2, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",1,5,15,egal,"[1, 3]",false,true,true,true,false,,{},false,9,,{},hand_target_in_bewegung,7,,"{""Hand hinhalten und wegziehen"",""Hund folgt der Hand""}","Er meistert „Hand-Target in Bewegung"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund verliert Interesse""}","[{""problem"": ""Hund verliert Interesse"", ""antwort"": ""Distanz anfangs sehr klein halten""}]"
nasen_target_an_gegenstand_post_it,Nasen-Target an Gegenstand (Post-it),Post-it an Schrank kleben.,training,hand_target_touch,"{""koerperlich"": 0, ""kopfarbeit"": 2, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",1,5,15,drinnen,"[1, 3]",false,true,true,true,false,,"{""klebezettel""}",false,9,,{},nasen_target_an_gegenstand_post_it,7,,"{""Post-it an Schrank kleben"",""Hund antippen lassen""}","Er meistert „Nasen-Target an Gegenstand (Post-it)"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund nutzt die Pfote""}","[{""problem"": ""Hund nutzt die Pfote"", ""antwort"": ""Pfoteneinsatz ignorieren, nur Nase belohnen""}]"
pfoten_target_auf_mauspad,Pfoten-Target auf Mauspad,Mauspad auf den Boden legen.,training,hand_target_touch,"{""koerperlich"": 0, ""kopfarbeit"": 2, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",1,5,15,drinnen,"[1, 3]",false,true,true,true,false,,"{""mauspad""}",false,9,,{},pfoten_target_auf_mauspad,7,,"{""Mauspad auf den Boden legen"",""Hund tritt drauf"",""Belohnen""}","Er meistert „Pfoten-Target auf Mauspad"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund geht daran vorbei""}","[{""problem"": ""Hund geht daran vorbei"", ""antwort"": ""Leckerli über das Mauspad führen""}]"
blickkontakt_aufbauen,Blickkontakt aufbauen,Hund steht.,training,blickkontakt_fokus,"{""koerperlich"": 0, ""kopfarbeit"": 2, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",1,5,15,egal,"[0, 1]",false,true,true,true,false,,{},false,9,,{},blickkontakt_aufbauen,7,,"{""Hund steht"",""Warten bis er einen ansieht"",""Sofort belohnen""}","Er meistert „Blickkontakt aufbauen"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund schaut weg""}","[{""problem"": ""Hund schaut weg"", ""antwort"": ""Geräusch machen, um Aufmerksamkeit zu wecken""}]"
blickkontakt_unter_ablenkung,Blickkontakt unter Ablenkung,Anderer Hund in Sichtweite.,training,blickkontakt_fokus,"{""koerperlich"": 0, ""kopfarbeit"": 2, ""nase"": 0, ""sozial"": 1, ""erholung"": 1}",1,5,15,egal,"[3, 5]",false,true,true,true,false,,{},false,9,,{},blickkontakt_unter_ablenkung,7,,"{""Anderer Hund in Sichtweite"",""Blickkontakt einfordern"",""Hochwertig belohnen""}","Er meistert „Blickkontakt unter Ablenkung"" sicher, auch im zweiten oder dritten Anlauf.","{""Hund fixiert Reiz""}","[{""problem"": ""Hund fixiert Reiz"", ""antwort"": ""Distanz zum Reiz vergrößern""}]"
